jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_replicates,n_precision_evaluable,n_recall_evaluable,precision_mean,precision_sd,precision_median,recall_mean,recall_sd,false_positive_rate_mean,f1_mean,mean_true_jumps
0.25,0.9,0.1,0.1,20,50,50,33,0.12785714285714284,0.1291497937365222,0.125,0.8813131313131313,0.29685146327042294,0.3425026659786722,0.3063068244886427,1.0
0.25,0.9,0.1,0.1,40,50,50,34,0.05980564975548822,0.05501538912376256,0.05555555555555555,0.9509803921568628,0.13931900127285748,0.46142925574504523,0.15799768342965512,1.18
0.25,0.9,0.1,0.25,20,50,50,34,0.08859321397556691,0.08038771292844887,0.07692307692307693,0.9338235294117647,0.150447441190946,0.6681970735662687,0.222226199573123,1.28
0.25,0.9,0.1,0.25,40,50,50,34,0.03932751873018837,0.04174576759343982,0.03333333333333333,0.9166666666666667,0.2537596094612761,0.7380873070346755,0.10684486419696865,1.2
0.25,0.9,0.2,0.0,20,50,35,38,0.9642857142857143,0.12341431212373545,1.0,0.7346491228070176,0.31291954609218176,0.003686274509803922,0.8551700680272109,1.52
0.25,0.9,0.2,0.0,40,50,31,34,0.9301075268817204,0.2098244131383786,1.0,0.7941176470588235,0.35070593437582026,0.0021337126600284497,0.8795698924731182,1.0
0.25,0.9,0.2,0.1,20,50,48,35,0.32430555555555557,0.3374034899807964,0.29166666666666663,0.6857142857142857,0.4052785465332603,0.08565428276573787,0.5094557823129252,1.34
0.25,0.9,0.2,0.1,40,50,50,41,0.14423160173160174,0.13742341803466485,0.125,0.7154471544715447,0.3693912079336012,0.1872799329455676,0.2702995235276441,1.46
0.25,0.9,0.2,0.25,20,50,50,35,0.12263131313131312,0.12456306659733528,0.1111111111111111,0.8571428571428571,0.31086758509401535,0.38571078431372546,0.28051583337297625,1.06
0.25,0.9,0.2,0.25,40,50,50,33,0.04157545944182099,0.04036090789684918,0.04083333333333333,0.898989898989899,0.23547895171402625,0.5568879006247428,0.11591252768128135,1.06
0.25,0.9,0.35,0.0,20,50,25,37,0.94,0.21984843263788195,1.0,0.5045045045045046,0.4203292479434148,0.0021637426900584793,0.8416666666666667,1.34
0.25,0.9,0.35,0.0,40,50,32,34,0.7942708333333334,0.3732692287273293,1.0,0.7156862745098039,0.4154617158226732,0.004754775017932913,0.8746598639455783,1.14
0.25,0.9,0.35,0.1,20,50,27,35,0.7345679012345678,0.4063051652466524,1.0,0.4904761904761905,0.4408526667298707,0.010935672514619884,0.7138888888888889,1.18
0.25,0.9,0.35,0.1,40,50,47,39,0.3978723404255319,0.3317829346363386,0.5,0.7042735042735043,0.36440125425698466,0.042638404028496904,0.5434210526315789,1.62
0.25,0.9,0.35,0.25,20,50,50,40,0.1214126984126984,0.15608456832824824,0.0,0.5,0.46684978092392626,0.18447540419676642,0.22446428571428573,1.08
0.25,0.9,0.35,0.25,40,50,50,38,0.07525576874106286,0.07463475017775562,0.06904761904761905,0.7609649122807017,0.3604775843595101,0.3342659437922596,0.170374849472943,1.3
0.5,0.2,0.1,0.0,20,50,37,44,0.9774774774774774,0.09751671400077791,1.0,0.5867424242424243,0.3437627995353395,0.0024264705882352943,0.7890819390819391,2.1
0.5,0.2,0.1,0.0,40,50,41,48,0.8943089430894309,0.23200843363794513,1.0,0.5960069444444445,0.33772370041661137,0.004299833089306773,0.77627442002442,2.48
0.5,0.2,0.1,0.1,20,50,50,46,0.2144834054834055,0.21501090329596476,0.2,0.487991718426501,0.3621900701204579,0.2927844687132613,0.28725374866679215,2.4
0.5,0.2,0.1,0.1,40,50,50,46,0.08863497071620641,0.06307356421036654,0.07919254658385093,0.731159420289855,0.2916028225500615,0.459279773750362,0.1651539379239725,2.22
0.5,0.2,0.1,0.25,20,50,50,47,0.12648102061337357,0.1002321856539933,0.1,0.7429584599797365,0.3351940661399798,0.6700039682539682,0.2149737839102835,2.36
0.5,0.2,0.1,0.25,40,50,50,43,0.06595918832913866,0.051090670976191264,0.06559139784946236,0.7898671096345515,0.27252438871099216,0.7552710132435365,0.13684555551354174,2.46
0.5,0.2,0.2,0.0,20,50,22,43,0.9318181818181818,0.23378126454803785,1.0,0.24689922480620155,0.3089548821951014,0.0024264705882352943,0.6025974025974026,2.4
0.5,0.2,0.2,0.0,40,50,34,46,0.9534313725490196,0.13482620136740261,1.0,0.39855072463768115,0.32054787371801774,0.0022389532389532393,0.6563725490196078,2.28
