n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
10,0.5,0.1,regular,10,9.1,14.991371400274463,15.192601248033839,-0.20122984775937525,2.684625075068596,1.5984636406951411,1.0861614343734547,0.4,0.5,-0.09999999999999998,0.0,0.1,-0.1,1.0,1.0
10,0.5,0.3,irregular,10,7.8,18.248431087809255,17.761144097469447,0.4872869903398076,2.924841350006498,0.5749532869752085,2.3498880630312895,0.9,0.8,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
10,0.5,0.3,regular,10,7.4,13.733968401440224,13.579770144134143,0.1541982573060814,2.490626726059483,1.3306194316401703,1.1600072944193127,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.0,irregular,10,20.0,1.5147374520034074,1.5147374520034074,0.0,0.0433670484429821,0.0433670484429821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.0,regular,10,20.0,1.103132054116594,1.103132054116594,0.0,0.04904931331262287,0.04904931331262287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.1,irregular,10,18.5,1.6355106772700114,1.6355106772700114,0.0,0.046486470208860556,0.046486470208860556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.1,regular,10,17.9,1.9526050078753898,1.9526050078753898,0.0,0.06323706409920282,0.06323706409920282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.3,irregular,10,15.0,0.6283999044884914,0.6283999044884914,0.0,0.06224625101651442,0.06224625101651442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.0,0.3,regular,10,15.1,1.0691917580493315,1.0691917580493315,0.0,0.06110252912681137,0.06110252912681137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.1,0.0,irregular,10,20.0,13.818323036529021,10.772895736135567,3.045427300393454,0.6372132950241225,0.239563119832205,0.3976501751919175,0.4,0.3,0.10000000000000003,0.0,0.0,0.0,1.0,1.0
20,0.1,0.0,regular,10,20.0,7.8053151832652,7.805313904505609,1.2787595906615934e-06,0.35218301438161137,0.21951653608299626,0.1326664782986151,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
20,0.1,0.1,irregular,10,17.8,12.327555023083962,4.087253441795856,8.240301581288104,0.7743076660394426,0.17012919977303206,0.6041784662664105,0.3,0.0,0.3,0.0,0.0,0.0,1.0,1.0
20,0.1,0.1,regular,10,18.0,3.574868312405185,3.432838302959205,0.1420300094459801,0.21952046894007302,0.13710918764669955,0.08241128129337347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.1,0.3,irregular,10,14.3,13.902330632865713,10.959878771045437,2.9424518618202757,0.5894658465592655,0.2155792753022993,0.37388657125696617,0.5,0.3,0.2,0.0,0.0,0.0,1.0,1.0
20,0.1,0.3,regular,10,14.5,2.2721994276527746,3.2641049039865315,-0.9919054763337569,0.19418932864873156,0.17642679077670395,0.01776253787202761,0.0,0.0,0.0,0.0,0.1,-0.1,1.0,1.0
20,0.25,0.0,irregular,10,20.0,18.43171532898763,12.160184784526589,6.27153054446104,3.6571372411131615,0.2671165020204464,3.3900207390927153,0.9,0.3,0.6000000000000001,0.0,0.0,0.0,1.0,1.0
20,0.25,0.0,regular,10,20.0,13.281176706951586,13.391115820672237,-0.10993911372065135,1.0569280640388887,0.44485297785489214,0.6120750861839965,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0
20,0.25,0.1,irregular,10,18.6,16.446725914361238,14.658090523774211,1.788635390587027,1.515524928384755,0.5251070151991122,0.9904179131856428,0.6,0.5,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
20,0.25,0.1,regular,10,18.2,11.526822326160069,11.4941941796795,0.03262814648056889,0.9798008662717622,0.37324010943492736,0.6065607568368349,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0
