branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.2,0.7,0.2,0.0,40,50,3.74,0.6325,0.19886476278504198,0.13463235930999756,0.22788077539734264,0.13939792846042845
0.2,0.7,0.2,0.1,20,50,3.22,0.61,0.153197218496623,0.07338282858591458,0.16396246731264072,0.20119478630116927
0.2,0.7,0.2,0.1,40,50,3.54,0.604,0.13816952025150345,0.05633393280962729,0.13017708759153235,0.125314092161568
0.2,0.7,0.2,0.25,20,50,2.96,0.58,0.15016997172591887,0.05147878125299558,0.12004150077848402,0.22654057456936055
0.2,0.7,0.2,0.25,40,50,3.22,0.5575,0.10279884260445896,0.0051943523837229355,0.04203324131282176,0.12147327840305419
0.2,0.7,0.2,0.5,20,50,3.34,0.546,0.1063494432596271,0.002341392273116115,0.05111916341628668,0.24556223664679547
0.2,0.7,0.2,0.5,40,50,3.12,0.5305,0.1002916664900277,0.004146420210597619,0.04386419303294616,0.1412840117559724
0.2,0.7,0.35,0.0,20,50,3.16,0.62,0.15616579363625321,0.06352111324451833,0.15569242715141127,0.18226616378790292
0.2,0.7,0.35,0.0,40,50,3.5,0.5575,0.13648745924300973,0.030833749546164167,0.09598467216560783,0.09005612516138832
0.2,0.7,0.35,0.1,20,50,2.92,0.599,0.13571052626371877,0.02857695177865785,0.10280430844184728,0.18630719162634057
0.2,0.7,0.35,0.1,40,50,3.1,0.5915,0.15872659718226564,0.045923877499578755,0.11045684964278836,0.09514502397382314
0.2,0.7,0.35,0.25,20,50,2.94,0.499,0.14794165976450838,0.027786468003485675,0.11660324170767107,0.24795275646339476
0.2,0.7,0.35,0.25,40,50,2.76,0.5735,0.13678245053920554,0.031301757349520995,0.06888854440459605,0.11302290586178054
0.2,0.7,0.35,0.5,20,50,2.68,0.5479999999999999,0.1316922820170459,0.019500624116384518,0.09722944276453017,0.2200692517359184
0.2,0.7,0.35,0.5,40,50,3.18,0.525,0.09556491543042608,0.006744142949934092,0.042431654401279655,0.12817439134866812
0.5,0.05,0.1,0.0,20,50,0.2,0.97,0.0685118789044674,0.8585150963140374,0.30236001620099656,0.0
0.5,0.05,0.1,0.0,40,50,0.22,0.965,0.07542397172122453,0.8674357945584339,0.27806558811954785,0.0
0.5,0.05,0.1,0.1,20,50,0.16,0.953,0.07916013220436312,0.6105814157425301,0.4678217605684115,0.07142857142857142
0.5,0.05,0.1,0.1,40,50,0.18,0.9440000000000001,0.07363727982205642,0.44041566054640463,0.46145218202071914,0.031746031746031744
0.5,0.05,0.1,0.25,20,50,0.3,0.785,0.11877349391654204,0.03665786704431648,0.157454580746504,0.05811965811965812
0.5,0.05,0.1,0.25,40,50,0.24,0.815,0.0861595577272487,0.03683825932113233,0.08988268409315055,0.04372294372294372
0.5,0.05,0.1,0.5,20,50,0.14,0.696,0.11195844710226656,0.004404559326504147,0.02301802114644959,0.08624708624708625
0.5,0.05,0.1,0.5,40,50,0.28,0.6825,0.0861965599010512,0.013328500573567879,0.042139431520066946,0.06300464241640712
0.5,0.05,0.2,0.0,20,50,0.24,0.96,0.06776309271789385,0.6989553428865016,0.44201297436767745,0.1
0.5,0.05,0.2,0.0,40,50,0.26,0.922,0.10745668325195133,0.6247244902652314,0.44005205762257865,0.0
0.5,0.05,0.2,0.1,20,50,0.28,0.892,0.12509588159422647,0.3586182375598736,0.4543706343100969,0.0
0.5,0.05,0.2,0.1,40,50,0.26,0.8859999999999999,0.11329481138037294,0.2552788419870702,0.4146484241444661,0.02813852813852814
0.5,0.05,0.2,0.25,20,50,0.36,0.7859999999999999,0.14429278624818814,0.08346133728993685,0.23718759738512243,0.13608465608465609
0.5,0.05,0.2,0.25,40,50,0.24,0.8029999999999999,0.10614295327817219,0.024235151854420902,0.08207383425235433,0.08738963421625962
0.5,0.05,0.2,0.5,20,50,0.28,0.69,0.11203133672398659,0.026811583321973007,0.11599616058478572,0.1626068376068376
0.5,0.05,0.2,0.5,40,50,0.26,0.6729999999999999,0.09946797248873833,0.011808365889453604,0.04848433047314641,0.07435049518382852
0.5,0.05,0.35,0.0,20,50,0.3,0.813,0.17837417677112208,0.2547685862796171,0.4157986902812805,0.12037037037037039
0.5,0.05,0.35,0.0,40,50,0.22,0.8395,0.15576424493445215,0.21070549262691302,0.37895270476371307,0.06709401709401709
0.5,0.05,0.35,0.1,20,50,0.18,0.794,0.17515008141707544,0.25681255355459465,0.4308475396531897,0.08333333333333333
0.5,0.05,0.35,0.1,40,50,0.26,0.8059999999999999,0.16579739295358076,0.19608192070275984,0.386857537487407,0.024691358024691357
