panel,scenario,parameter,panel_title,symbol,replicate,truth,estimate,error,absolute_error,squared_error
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,90,0.2,-0.162076265855377,-0.362076265855377,0.362076265855377,0.13109922229577364
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,91,0.2,0.282804769238223,0.082804769238223,0.082804769238223,0.006856629808595361
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,92,0.2,0.418227412973286,0.21822741297328596,0.21822741297328596,0.0476232037730131
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,93,0.2,0.4323971088036522,0.23239710880365216,0.23239710880365216,0.054008416180296545
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,94,0.2,0.3869177132621793,0.18691771326217926,0.18691771326217926,0.03493823153116227
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,95,0.2,0.3111551825139751,0.1111551825139751,0.1111551825139751,0.012355474599715116
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,96,0.2,0.1493875570448932,-0.05061244295510681,0.05061244295510681,0.0025616193818839405
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,97,0.2,0.1895265072393156,-0.010473492760684405,0.010473492760684405,0.00010969405060810864
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,98,0.2,0.5256692084174148,0.3256692084174148,0.3256692084174148,0.10606043331122557
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,99,0.2,-0.1451760967405179,-0.3451760967405179,0.3451760967405179,0.11914653776101938
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,0,0.25,0.2168369052315365,-0.03316309476846349,0.03316309476846349,0.0010997908546220906
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,1,0.25,0.2126972110019889,-0.037302788998011094,0.037302788998011094,0.0013914980670301374
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,2,0.25,0.212102761402997,-0.037897238597003,0.037897238597003,0.0014362006932781741
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,3,0.25,0.2601829231800745,0.010182923180074521,0.010182923180074521,0.000103691924491299
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,4,0.25,0.1819349186470234,-0.06806508135297659,0.06806508135297659,0.004632855299587322
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,5,0.25,0.243755359070711,-0.006244640929289003,0.006244640929289003,3.899554033575142e-05
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,6,0.25,0.2394125708328225,-0.010587429167177503,0.010587429167177503,0.00011209365637000093
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,7,0.25,0.196824355821583,-0.053175644178417,0.053175644178417,0.0028276491337896137
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,8,0.25,0.3236115116150327,0.07361151161503271,0.07361151161503271,0.005418654642250095
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,9,0.25,0.2499781290038598,-2.1870996140205268e-05,2.1870996140205268e-05,4.783404721648737e-10
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,10,0.25,0.3170235917195405,0.06702359171954048,0.06702359171954048,0.004492161846987655
E,ou,sigma,Standard OU $\sigma$ recovery,$\sigma$,11,0.25,0.1956500900002826,-0.054349909999717394,0.054349909999717394,0.0029539127169773806
