generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
OU+B,Intermediate,1,OU+B,-2.0812030779690938,-0.09048709034648234,0.24955996233446065,0.9565217391304348,-0.18185527272635807,1.0
OU+B,Intermediate,2,OU+T,-3.284865724561035,-0.14282024889395806,0.27499127226663034,0.8695652173913043,-0.38593738732713834,0.0
OU+B,Intermediate,3,OU+L,2.9677393355962876,0.12903214502592555,0.20161755283301228,1.0,-0.112245338441665,0.0
OU+B,Intermediate,4,OU,-3.4460987338751226,-0.14983037973370097,0.2801777457657053,0.9565217391304348,-0.5187744830812806,0.0
OU+B,Intermediate,5,OU,1.6094744669472165,0.0699771507368355,0.23378599437172823,0.9565217391304348,-0.29759043298556215,0.0
OU+B,Intermediate,6,OU,2.588919385146905,0.11256171239769151,0.21041812700904136,1.0,-0.2696925756355016,0.0
OU+B,Intermediate,7,OULB,-0.47383948881706794,-0.020601716905089912,0.23781520572185783,1.0,-0.4394265320221542,0.0
OU+B,Intermediate,8,OU+T,-1.7880421564773767,-0.07774096332510334,0.26971481894856747,0.9565217391304348,-0.6048237874418403,0.0
OU+B,Intermediate,9,OU,1.072896646476142,0.046647680281571395,0.24053889895373373,0.9130434782608695,-0.40319095606070515,0.0
OU+B,Intermediate,10,OU,-2.6442635302307886,-0.11496797957525168,0.27872440688254463,0.9565217391304348,-0.3794322202092239,0.0
OU+B,Intermediate,11,OU+B,0.3660826650115161,0.01591663760919635,0.23375824493690764,0.9565217391304348,-0.34833397988871867,1.0
OU+B,Intermediate,12,OULB,-2.525912508273268,-0.10982228296840295,0.2668163881415688,0.9130434782608695,-0.3754064591241173,0.0
OU+B,Intermediate,13,OULB,-5.308491105522781,-0.23080396110968612,0.2957833933644663,0.9565217391304348,-0.4926764225226592,0.0
OU+B,Intermediate,14,OU+L,-6.693274781748947,-0.2910119470325629,0.30470356951438254,0.8695652173913043,-0.4812946720091328,0.0
OU+B,Intermediate,15,OU+L,2.0467035156880353,0.08898710937774067,0.21869219285629887,1.0,-0.3547359727987476,0.0
