generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,2,19,2.5079719742485054,0.0,0.06034266343557618,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,20,2.6351705464679656,0.0,0.031534824291818954,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,21,2.890687242390385,0.0,-0.00845382565412183,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,22,3.1278945133106184,0.0,0.04375924871683627,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,23,3.195021150248545,0.0,0.027764391478704572,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,24,3.4081491302071254,0.0,-0.0015406943622964249,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,25,3.7003105893109165,0.0,0.040193316147723174,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,26,3.9504607895949917,0.0,-0.08040957124044568,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,27,4.252536980663563,0.0,-0.018383898961977587,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,28,4.342777625045276,0.0,0.014933625509249975,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,29,4.350677952835325,0.0,-0.02422811829615055,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,30,4.503764118152124,0.0,-0.00948652046676806,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,31,4.527349823041331,0.0,-0.031171531972750972,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,32,5.238234094370847,0.0,0.034379634808093085,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,33,5.282711204972461,0.0,0.0723505529320057,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,34,5.746534029120486,0.0,0.06892053826038369,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,35,5.814890369626421,0.0,-0.04696618491748511,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,36,5.985516592627804,0.0,0.001485786013439165,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,37,6.2576047639940855,0.0,0.10574012830400302,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,38,6.262595792034098,0.0,0.0650965502740483,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,39,6.2915025971954,0.0,0.091322060469752,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,40,6.388919868476859,0.0,0.02659487156473074,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,41,6.581219081497299,0.0,0.06676911573298264,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,42,6.8221867338499385,0.0,-0.05695801100766384,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,43,7.146764767801768,0.0,-0.013130610508041738,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,44,7.1915831681249145,0.0,-0.055203493187000886,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,45,7.2551551538973165,0.0,-0.058114779678349084,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,46,7.457060284096126,0.0,-0.07574015259874796,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,47,7.749161883758372,0.0,0.007356005397080089,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
